Q2_center	xbj_center       N_total	
1.025	0.0525	1.4243e+07
1.025	0.0575	1.28015e+09
1.025	0.0625	1.63361e+09
1.025	0.0675	1.47013e+09
1.025	0.0725	1.36899e+09
1.025	0.0775	1.22394e+09
1.025	0.0825	1.15715e+09
1.025	0.0875	8.06584e+08
1.025	0.0925	4.54884e+08
1.025	0.0975	2.35972e+08
1.025	0.1025	4.23398e+07
1.075	0.0575	2.40936e+08
1.075	0.0625	1.43796e+09
1.075	0.0675	1.35116e+09
1.075	0.0725	1.25222e+09
1.075	0.0775	1.14612e+09
1.075	0.0825	1.04397e+09
1.075	0.0875	9.94976e+08
1.075	0.0925	8.54636e+08
1.075	0.0975	5.14466e+08
1.075	0.1025	3.54318e+08
1.075	0.1075	2.17233e+08
1.075	0.1125	4.1371e+07
1.125	0.0575	4158.94
1.125	0.0625	6.32641e+08
1.125	0.0675	1.25449e+09
1.125	0.0725	1.13682e+09
1.125	0.0775	1.06252e+09
1.125	0.0825	9.72554e+08
1.125	0.0875	9.23185e+08
1.125	0.0925	8.72751e+08
1.125	0.0975	7.96595e+08
1.125	0.1025	6.45714e+08
1.125	0.1075	3.94746e+08
1.125	0.1125	3.18789e+08
1.125	0.1175	2.15443e+08
1.125	0.1225	7.19491e+07
1.125	0.1275	321254
1.175	0.0625	3.17975e+07
1.175	0.0675	9.05968e+08
1.175	0.0725	1.07433e+09
1.175	0.0775	9.95327e+08
1.175	0.0825	9.17727e+08
1.175	0.0875	8.54452e+08
1.175	0.0925	8.35784e+08
1.175	0.0975	7.75516e+08
1.175	0.1025	7.09566e+08
1.175	0.1075	6.80282e+08
1.175	0.1125	5.21906e+08
1.175	0.1175	3.21225e+08
1.175	0.1225	2.89289e+08
1.175	0.1275	2.11361e+08
1.175	0.1325	1.06527e+08
1.175	0.1375	1.89737e+07
1.225	0.0675	2.06537e+08
1.225	0.0725	9.63015e+08
1.225	0.0775	9.30339e+08
1.225	0.0825	8.76485e+08
1.225	0.0875	8.10527e+08
1.225	0.0925	7.68521e+08
1.225	0.0975	7.38659e+08
1.225	0.1025	6.82748e+08
1.225	0.1075	6.29729e+08
1.225	0.1125	6.11389e+08
1.225	0.1175	5.73415e+08
1.225	0.1225	4.39595e+08
1.225	0.1275	3.01374e+08
1.225	0.1325	2.31698e+08
1.225	0.1375	2.1311e+08
1.225	0.1425	1.48765e+08
1.225	0.1475	7.03374e+07
1.225	0.1525	9.76576e+06
1.275	0.0675	217942
1.275	0.0725	4.46619e+08
1.275	0.0775	8.69348e+08
1.275	0.0825	7.96265e+08
1.275	0.0875	7.33203e+08
1.275	0.0925	7.23748e+08
1.275	0.0975	6.87926e+08
1.275	0.1025	6.40701e+08
1.275	0.1075	5.87794e+08
1.275	0.1125	5.59913e+08
1.275	0.1175	5.32577e+08
1.275	0.1225	5.17108e+08
