Q2_center	xbj_center	Content
1.025	0.0525	6.67638e+06
1.025	0.0575	6.00035e+08
1.025	0.0625	7.65757e+08
1.025	0.0675	6.89125e+08
1.025	0.0725	6.4171e+08
1.025	0.0775	5.73721e+08
1.025	0.0825	5.4241e+08
1.025	0.0875	3.78086e+08
1.025	0.0925	2.13228e+08
1.025	0.0975	1.10612e+08
1.025	0.1025	1.98468e+07
1.075	0.0575	1.1294e+08
1.075	0.0625	6.74062e+08
1.075	0.0675	6.33363e+08
1.075	0.0725	5.86979e+08
1.075	0.0775	5.37243e+08
1.075	0.0825	4.89368e+08
1.075	0.0875	4.66394e+08
1.075	0.0925	4.00612e+08
1.075	0.0975	2.41155e+08
1.075	0.1025	1.66087e+08
1.075	0.1075	1.01828e+08
1.075	0.1125	1.93927e+07
1.125	0.0575	1949.5
1.125	0.0625	2.96555e+08
1.125	0.0675	5.88039e+08
1.125	0.0725	5.32882e+08
1.125	0.0775	4.9806e+08
1.125	0.0825	4.55885e+08
1.125	0.0875	4.3274e+08
1.125	0.0925	4.09103e+08
1.125	0.0975	3.73405e+08
1.125	0.1025	3.02679e+08
1.125	0.1075	1.85037e+08
1.125	0.1125	1.49432e+08
1.125	0.1175	1.00989e+08
1.125	0.1225	3.37262e+07
1.125	0.1275	150588
1.175	0.0625	1.49051e+07
1.175	0.0675	4.24718e+08
1.175	0.0725	5.03593e+08
1.175	0.0775	4.66562e+08
1.175	0.0825	4.30181e+08
1.175	0.0875	4.00524e+08
1.175	0.0925	3.91772e+08
1.175	0.0975	3.63524e+08
1.175	0.1025	3.32609e+08
1.175	0.1075	3.18882e+08
1.175	0.1125	2.44644e+08
1.175	0.1175	1.50575e+08
1.175	0.1225	1.35604e+08
1.175	0.1275	9.90752e+07
1.175	0.1325	4.99344e+07
1.175	0.1375	8.89392e+06
1.225	0.0675	9.68185e+07
1.225	0.0725	4.51417e+08
1.225	0.0775	4.36095e+08
1.225	0.0825	4.10853e+08
1.225	0.0875	3.79933e+08
1.225	0.0925	3.60246e+08
1.225	0.0975	3.46248e+08
1.225	0.1025	3.20038e+08
1.225	0.1075	2.95185e+08
1.225	0.1125	2.86591e+08
1.225	0.1175	2.68788e+08
1.225	0.1225	2.06061e+08
1.225	0.1275	1.41268e+08
1.225	0.1325	1.08609e+08
1.225	0.1375	9.98952e+07
1.225	0.1425	6.97336e+07
1.225	0.1475	3.29706e+07
1.225	0.1525	4.5777e+06
1.275	0.0675	102160
1.275	0.0725	2.09347e+08
1.275	0.0775	4.07504e+08
1.275	0.0825	3.73247e+08
1.275	0.0875	3.43688e+08
1.275	0.0925	3.39258e+08
1.275	0.0975	3.22467e+08
1.275	0.1025	3.00329e+08
1.275	0.1075	2.75531e+08
1.275	0.1125	2.62458e+08
1.275	0.1175	2.49646e+08
1.275	0.1225	2.42396e+08
1.275	0.1275	2.37717e+08
1.275	0.1325	1.95467e+08
1.275	0.1375	1.23858e+08
1.275	0.1425	9.02231e+07
1.275	0.1475	8.81072e+07
1.275	0.1525	8.16453e+07
1.275	0.1575	6.11794e+07
1.275	0.1625	3.35043e+07
1.275	0.1675	8.03563e+06
1.325	0.0725	1.29252e+07
1.325	0.0775	2.91952e+08
1.325	0.0825	3.49132e+08
1.325	0.0875	3.27373e+08
1.325	0.0925	2.99823e+08
1.325	0.0975	2.99909e+08
1.325	0.1025	2.79299e+08
1.325	0.1075	2.61523e+08
1.325	0.1125	2.46492e+08
1.325	0.1175	2.33251e+08
1.325	0.1225	2.23046e+08
1.325	0.1275	2.22732e+08
1.325	0.1325	2.10523e+08
1.325	0.1375	2.07014e+08
1.325	0.1425	1.66824e+08
1.325	0.1475	1.25839e+08
1.325	0.1525	8.57506e+07
1.325	0.1575	7.55526e+07
1.325	0.1625	7.92873e+07
1.325	0.1675	7.70615e+07
1.325	0.1725	5.54843e+07
1.325	0.1775	3.93139e+07
1.325	0.1825	1.98739e+07
1.325	0.1875	2.64459e+06
1.375	0.0775	6.052e+07
1.375	0.0825	3.14674e+08
1.375	0.0875	3.14107e+08
1.375	0.0925	2.96016e+08
1.375	0.0975	2.77211e+08
1.375	0.1025	2.66622e+08
1.375	0.1075	2.45487e+08
1.375	0.1125	2.29716e+08
1.375	0.1175	2.19378e+08
1.375	0.1225	2.08284e+08
1.375	0.1275	2.00819e+08
1.375	0.1325	2.03179e+08
1.375	0.1375	1.88425e+08
1.375	0.1425	1.86594e+08
1.375	0.1475	1.66484e+08
1.375	0.1525	1.62762e+08
1.375	0.1575	1.31387e+08
1.375	0.1625	9.26673e+07
1.375	0.1675	7.05811e+07
1.375	0.1725	6.85689e+07
1.375	0.1775	6.31315e+07
1.375	0.1825	6.66482e+07
1.375	0.1875	6.18801e+07
1.375	0.1925	4.75648e+07
1.375	0.1975	3.35659e+07
1.375	0.2025	1.76304e+07
1.375	0.2075	4.59722e+06
1.425	0.0775	141213
1.425	0.0825	1.31047e+08
1.425	0.0875	2.95965e+08
1.425	0.0925	2.79627e+08
1.425	0.0975	2.64445e+08
1.425	0.1025	2.44837e+08
1.425	0.1075	2.33924e+08
1.425	0.1125	2.21221e+08
1.425	0.1175	2.06368e+08
1.425	0.1225	1.98191e+08
1.425	0.1275	1.84768e+08
1.425	0.1325	1.88923e+08
1.425	0.1375	1.78429e+08
1.425	0.1425	1.69703e+08
1.425	0.1475	1.62681e+08
1.425	0.1525	1.52196e+08
1.425	0.1575	1.47142e+08
1.425	0.1625	1.44422e+08
1.425	0.1675	1.30697e+08
1.425	0.1725	1.1032e+08
1.425	0.1775	8.24376e+07
1.425	0.1825	6.2492e+07
1.425	0.1875	5.65049e+07
1.425	0.1925	5.83416e+07
1.425	0.1975	5.38874e+07
1.425	0.2025	5.35582e+07
1.425	0.2075	5.07645e+07
1.425	0.2125	3.86068e+07
1.425	0.2175	2.73267e+07
1.425	0.2225	2.17201e+07
1.425	0.2275	1.35668e+07
1.425	0.2325	2.96833e+06
1.475	0.0825	6.81836e+06
1.475	0.0875	1.89198e+08
1.475	0.0925	2.61927e+08
1.475	0.0975	2.45474e+08
1.475	0.1025	2.33705e+08
1.475	0.1075	2.17579e+08
1.475	0.1125	2.07949e+08
1.475	0.1175	1.97574e+08
1.475	0.1225	1.83768e+08
1.475	0.1275	1.78176e+08
1.475	0.1325	1.66538e+08
1.475	0.1375	1.68749e+08
1.475	0.1425	1.56752e+08
1.475	0.1475	1.53786e+08
1.475	0.1525	1.49311e+08
1.475	0.1575	1.39584e+08
1.475	0.1625	1.335e+08
1.475	0.1675	1.31165e+08
1.475	0.1725	1.20876e+08
1.475	0.1775	1.20301e+08
1.475	0.1825	1.19125e+08
1.475	0.1875	9.81297e+07
1.475	0.1925	7.38881e+07
1.475	0.1975	6.30966e+07
1.475	0.2025	4.78413e+07
1.475	0.2075	4.90894e+07
1.475	0.2125	4.62924e+07
1.475	0.2175	4.26055e+07
1.475	0.2225	3.75736e+07
1.475	0.2275	4.25641e+07
1.475	0.2325	4.31954e+07
1.475	0.2375	3.46638e+07
1.475	0.2425	2.9105e+07
1.475	0.2475	1.7343e+07
1.475	0.2525	1.14365e+07
1.475	0.2575	7.76285e+06
1.475	0.2625	1.61794e+06
1.525	0.0875	3.08894e+07
1.525	0.0925	2.13784e+08
1.525	0.0975	2.32024e+08
1.525	0.1025	2.1895e+08
1.525	0.1075	2.08464e+08
1.525	0.1125	1.95634e+08
1.525	0.1175	1.85736e+08
1.525	0.1225	1.74325e+08
1.525	0.1275	1.68022e+08
1.525	0.1325	1.62608e+08
1.525	0.1375	1.54393e+08
1.525	0.1425	1.51399e+08
1.525	0.1475	1.46824e+08
1.525	0.1525	1.38267e+08
1.525	0.1575	1.34147e+08
1.525	0.1625	1.29586e+08
1.525	0.1675	1.24924e+08
1.525	0.1725	1.1978e+08
1.525	0.1775	1.12103e+08
1.525	0.1825	1.07759e+08
1.525	0.1875	1.06918e+08
1.525	0.1925	1.05077e+08
1.525	0.1975	9.90466e+07
1.525	0.2025	8.64162e+07
1.525	0.2075	7.05131e+07
1.525	0.2125	6.31293e+07
1.525	0.2175	4.85684e+07
1.525	0.2225	4.11017e+07
1.525	0.2275	3.40673e+07
1.525	0.2325	3.51535e+07
1.525	0.2375	3.93395e+07
1.525	0.2425	3.71708e+07
1.525	0.2475	3.58635e+07
1.525	0.2525	3.28585e+07
1.525	0.2575	2.98131e+07
1.525	0.2625	3.45595e+07
1.525	0.2675	3.01738e+07
1.525	0.2725	2.52582e+07
1.525	0.2775	1.65924e+07
1.525	0.2825	1.26695e+07
1.525	0.2875	8.85281e+06
1.525	0.2925	5.03906e+06
1.525	0.2975	1.21716e+06
1.575	0.0875	1003.16
1.575	0.0925	6.76498e+07
1.575	0.0975	2.0793e+08
1.575	0.1025	2.08754e+08
1.575	0.1075	2.02418e+08
1.575	0.1125	1.8654e+08
1.575	0.1175	1.78092e+08
1.575	0.1225	1.67663e+08
1.575	0.1275	1.6035e+08
1.575	0.1325	1.57251e+08
1.575	0.1375	1.443e+08
1.575	0.1425	1.46487e+08
1.575	0.1475	1.34164e+08
1.575	0.1525	1.31785e+08
1.575	0.1575	1.31648e+08
1.575	0.1625	1.23827e+08
1.575	0.1675	1.16144e+08
1.575	0.1725	1.11361e+08
1.575	0.1775	1.09958e+08
1.575	0.1825	1.05493e+08
1.575	0.1875	1.00971e+08
1.575	0.1925	9.65131e+07
1.575	0.1975	9.50703e+07
1.575	0.2025	8.90878e+07
1.575	0.2075	8.60594e+07
1.575	0.2125	8.07142e+07
1.575	0.2175	8.79742e+07
1.575	0.2225	8.04348e+07
1.575	0.2275	6.45421e+07
1.575	0.2325	4.66617e+07
1.575	0.2375	3.78111e+07
1.575	0.2425	3.48863e+07
1.575	0.2475	3.48264e+07
1.575	0.2525	3.19282e+07
1.575	0.2575	3.24412e+07
1.575	0.2625	2.82097e+07
1.575	0.2675	2.65433e+07
1.575	0.2725	3.06632e+07
1.575	0.2775	3.12244e+07
1.575	0.2825	2.83329e+07
1.575	0.2875	2.51041e+07
1.575	0.2925	2.66922e+07
1.575	0.2975	2.96078e+07
1.575	0.3025	2.49878e+07
1.575	0.3075	1.85996e+07
1.575	0.3125	1.28911e+07
1.575	0.3175	9.74184e+06
1.575	0.3225	9.48186e+06
1.575	0.3275	5.76003e+06
1.575	0.3325	4.72632e+06
1.575	0.3375	1.55475e+06
1.575	0.3425	118986
1.625	0.0925	1.66238e+06
1.625	0.0975	1.06007e+08
1.625	0.1025	1.94839e+08
1.625	0.1075	1.89627e+08
1.625	0.1125	1.78739e+08
1.625	0.1175	1.68102e+08
1.625	0.1225	1.64772e+08
1.625	0.1275	1.52777e+08
1.625	0.1325	1.46426e+08
1.625	0.1375	1.39684e+08
1.625	0.1425	1.3518e+08
1.625	0.1475	1.31876e+08
1.625	0.1525	1.23075e+08
1.625	0.1575	1.20392e+08
1.625	0.1625	1.17619e+08
1.625	0.1675	1.13605e+08
1.625	0.1725	1.06521e+08
1.625	0.1775	1.01479e+08
1.625	0.1825	9.82811e+07
1.625	0.1875	9.92314e+07
1.625	0.1925	9.40074e+07
1.625	0.1975	8.50422e+07
1.625	0.2025	8.59642e+07
1.625	0.2075	8.19848e+07
1.625	0.2125	7.88207e+07
1.625	0.2175	7.31868e+07
1.625	0.2225	7.62322e+07
1.625	0.2275	8.03963e+07
1.625	0.2325	7.43182e+07
1.625	0.2375	6.57183e+07
1.625	0.2425	6.81702e+07
1.625	0.2475	5.85738e+07
1.625	0.2525	4.95208e+07
1.625	0.2575	4.36273e+07
1.625	0.2625	3.38588e+07
1.625	0.2675	2.81004e+07
1.625	0.2725	2.31605e+07
1.625	0.2775	2.60641e+07
1.625	0.2825	2.73119e+07
1.625	0.2875	2.73854e+07
1.625	0.2925	2.54938e+07
1.625	0.2975	2.22498e+07
1.625	0.3025	2.39528e+07
1.625	0.3075	2.57121e+07
1.625	0.3125	2.40101e+07
1.625	0.3175	2.00133e+07
1.625	0.3225	1.73968e+07
1.625	0.3275	1.82772e+07
1.625	0.3325	2.05998e+07
1.625	0.3375	2.10175e+07
1.625	0.3425	1.94675e+07
1.625	0.3475	1.5048e+07
1.625	0.3525	1.28405e+07
1.625	0.3575	1.10634e+07
1.625	0.3625	9.48919e+06
1.625	0.3675	6.16581e+06
1.625	0.3725	7.31626e+06
1.625	0.3775	5.52633e+06
1.625	0.3825	2.49822e+06
1.625	0.3875	1.31473e+06
1.625	0.3925	401422
1.675	0.0975	1.07566e+07
1.675	0.1025	1.32647e+08
1.675	0.1075	1.77597e+08
1.675	0.1125	1.69207e+08
1.675	0.1175	1.59764e+08
1.675	0.1225	1.52464e+08
1.675	0.1275	1.47017e+08
1.675	0.1325	1.40621e+08
1.675	0.1375	1.33629e+08
1.675	0.1425	1.297e+08
1.675	0.1475	1.23568e+08
1.675	0.1525	1.18316e+08
1.675	0.1575	1.1102e+08
1.675	0.1625	1.05956e+08
1.675	0.1675	1.08994e+08
1.675	0.1725	1.02732e+08
1.675	0.1775	1.01468e+08
1.675	0.1825	9.6762e+07
1.675	0.1875	9.14072e+07
1.675	0.1925	9.14246e+07
1.675	0.1975	8.68346e+07
1.675	0.2025	7.85379e+07
1.675	0.2075	7.9941e+07
1.675	0.2125	8.08745e+07
1.675	0.2175	7.68951e+07
1.675	0.2225	6.80196e+07
1.675	0.2275	6.86527e+07
1.675	0.2325	7.21522e+07
1.675	0.2375	7.06167e+07
1.675	0.2425	5.95494e+07
1.675	0.2475	6.07328e+07
1.675	0.2525	6.09161e+07
1.675	0.2575	5.67577e+07
1.675	0.2625	5.87465e+07
1.675	0.2675	5.21175e+07
1.675	0.2725	4.74484e+07
1.675	0.2775	4.1395e+07
1.675	0.2825	3.23342e+07
1.675	0.2875	3.06569e+07
1.675	0.2925	2.74266e+07
1.675	0.2975	2.37539e+07
1.675	0.3025	2.16342e+07
1.675	0.3075	2.01605e+07
1.675	0.3125	2.14903e+07
1.675	0.3175	2.26481e+07
1.675	0.3225	2.14455e+07
1.675	0.3275	1.8085e+07
1.675	0.3325	1.5481e+07
1.675	0.3375	1.61587e+07
1.675	0.3425	1.74089e+07
1.675	0.3475	1.86986e+07
1.675	0.3525	1.77226e+07
1.675	0.3575	1.55914e+07
1.675	0.3625	1.51589e+07
1.675	0.3675	1.5475e+07
1.675	0.3725	1.37429e+07
1.675	0.3775	1.43912e+07
1.675	0.3825	1.59311e+07
1.675	0.3875	1.43382e+07
1.675	0.3925	1.24236e+07
1.675	0.3975	1.13665e+07
1.675	0.4025	1.12001e+07
1.675	0.4075	9.03783e+06
1.675	0.4125	6.89523e+06
1.675	0.4175	7.30105e+06
1.675	0.4225	6.92889e+06
1.675	0.4275	5.69607e+06
1.675	0.4325	3.38149e+06
1.675	0.4375	3.38155e+06
1.675	0.4425	2.29244e+06
1.675	0.4475	1.27806e+06
1.675	0.4525	699705
1.675	0.4575	499402
1.725	0.1025	2.64589e+07
1.725	0.1075	1.41242e+08
1.725	0.1125	1.59313e+08
1.725	0.1175	1.50674e+08
1.725	0.1225	1.44969e+08
1.725	0.1275	1.38478e+08
1.725	0.1325	1.34333e+08
1.725	0.1375	1.292e+08
1.725	0.1425	1.20449e+08
1.725	0.1475	1.1982e+08
1.725	0.1525	1.12284e+08
1.725	0.1575	1.08534e+08
1.725	0.1625	1.01913e+08
1.725	0.1675	9.89152e+07
1.725	0.1725	9.99482e+07
1.725	0.1775	9.38056e+07
1.725	0.1825	9.29707e+07
1.725	0.1875	8.97404e+07
1.725	0.1925	8.32898e+07
1.725	0.1975	8.26063e+07
1.725	0.2025	7.89503e+07
1.725	0.2075	7.33101e+07
1.725	0.2125	7.17775e+07
1.725	0.2175	7.41989e+07
1.725	0.2225	7.23064e+07
1.725	0.2275	6.92974e+07
1.725	0.2325	6.59615e+07
1.725	0.2375	6.71682e+07
1.725	0.2425	6.38423e+07
1.725	0.2475	5.70185e+07
1.725	0.2525	5.4695e+07
1.725	0.2575	5.61871e+07
1.725	0.2625	5.29322e+07
1.725	0.2675	5.09194e+07
1.725	0.2725	5.1616e+07
1.725	0.2775	4.69372e+07
1.725	0.2825	5.06317e+07
1.725	0.2875	4.52454e+07
1.725	0.2925	4.24919e+07
1.725	0.2975	4.37815e+07
1.725	0.3025	3.75342e+07
1.725	0.3075	3.49846e+07
1.725	0.3125	3.1629e+07
1.725	0.3175	2.60859e+07
1.725	0.3225	2.39129e+07
1.725	0.3275	2.28123e+07
1.725	0.3325	1.88621e+07
1.725	0.3375	1.60526e+07
1.725	0.3425	1.39342e+07
1.725	0.3475	1.45052e+07
1.725	0.3525	1.53625e+07
1.725	0.3575	1.58527e+07
1.725	0.3625	1.56403e+07
1.725	0.3675	1.32161e+07
1.725	0.3725	1.28804e+07
1.725	0.3775	1.40103e+07
1.725	0.3825	1.19556e+07
1.725	0.3875	1.23311e+07
1.725	0.3925	1.37929e+07
1.725	0.3975	1.40091e+07
1.725	0.4025	1.11432e+07
1.725	0.4075	1.11989e+07
1.725	0.4125	1.17386e+07
1.725	0.4175	9.87771e+06
1.725	0.4225	9.72819e+06
1.725	0.4275	1.04804e+07
1.725	0.4325	1.11891e+07
1.725	0.4375	1.05187e+07
1.725	0.4425	9.06757e+06
1.725	0.4475	8.60178e+06
1.725	0.4525	8.53901e+06
1.725	0.4575	8.06272e+06
1.725	0.4625	8.2478e+06
1.725	0.4675	8.62604e+06
1.725	0.4725	7.08946e+06
1.725	0.4775	6.75569e+06
1.725	0.4825	5.61034e+06
1.725	0.4875	4.77986e+06
1.725	0.4925	4.69517e+06
1.725	0.4975	3.41478e+06
1.725	0.5025	2.90973e+06
1.725	0.5075	3.27582e+06
1.725	0.5125	2.86794e+06
1.725	0.5175	2.28461e+06
1.725	0.5225	2.10245e+06
1.725	0.5275	1.81942e+06
1.725	0.5325	720737
1.725	0.5375	849320
1.725	0.5425	138902
1.725	0.5475	47198.9
1.775	0.1025	238095
1.775	0.1075	4.56738e+07
