Q2_center	xbj_center	N_total
1.025	0.0725	2.49736e+07
1.025	0.0775	4.22701e+08
1.025	0.0825	5.76103e+08
1.025	0.0875	5.36809e+08
1.025	0.0925	5.0279e+08
1.025	0.0975	4.70889e+08
1.025	0.1025	4.48105e+08
1.025	0.1075	4.47838e+08
1.025	0.1125	4.2531e+08
1.025	0.1175	3.99697e+08
1.025	0.1225	3.84325e+08
1.025	0.1275	3.55288e+08
1.025	0.1325	3.36688e+08
1.025	0.1375	3.24428e+08
1.025	0.1425	3.06881e+08
1.025	0.1475	3.00328e+08
1.025	0.1525	2.74049e+08
1.025	0.1575	2.77411e+08
1.025	0.1625	2.726e+08
1.025	0.1675	2.55279e+08
1.025	0.1725	2.5329e+08
1.025	0.1775	2.48197e+08
1.025	0.1825	2.35278e+08
1.025	0.1875	1.95893e+08
1.025	0.1925	1.60437e+08
1.025	0.1975	1.43195e+08
1.025	0.2025	1.0783e+08
1.025	0.2075	9.19804e+07
1.025	0.2125	8.40725e+07
1.025	0.2175	8.08628e+07
1.025	0.2225	7.99368e+07
1.025	0.2275	7.74514e+07
1.025	0.2325	7.68771e+07
1.025	0.2375	7.19482e+07
1.025	0.2425	6.9001e+07
1.025	0.2475	7.07683e+07
1.025	0.2525	6.44739e+07
1.025	0.2575	5.84584e+07
1.025	0.2625	4.52865e+07
1.025	0.2675	3.80721e+07
1.025	0.2725	3.78721e+07
1.025	0.2775	2.74688e+07
1.025	0.2825	2.2723e+07
1.025	0.2875	1.75163e+07
1.025	0.2925	9.91344e+06
1.025	0.2975	5.41052e+06
1.025	0.3025	2.49446e+06
1.025	0.3075	137775
1.075	0.0775	3.45477e+07
1.075	0.0825	3.83264e+08
1.075	0.0875	4.96693e+08
1.075	0.0925	4.70384e+08
1.075	0.0975	4.41648e+08
1.075	0.1025	4.0677e+08
1.075	0.1075	3.96376e+08
1.075	0.1125	3.90718e+08
1.075	0.1175	3.7444e+08
1.075	0.1225	3.45462e+08
1.075	0.1275	3.32314e+08
1.075	0.1325	3.1064e+08
1.075	0.1375	2.94098e+08
1.075	0.1425	2.90572e+08
1.075	0.1475	2.73554e+08
1.075	0.1525	2.65908e+08
1.075	0.1575	2.44648e+08
1.075	0.1625	2.46711e+08
1.075	0.1675	2.54016e+08
1.075	0.1725	2.34633e+08
1.075	0.1775	2.19178e+08
1.075	0.1825	2.17674e+08
1.075	0.1875	2.09837e+08
1.075	0.1925	2.14833e+08
1.075	0.1975	1.97043e+08
1.075	0.2025	1.79367e+08
1.075	0.2075	1.78009e+08
1.075	0.2125	1.54816e+08
1.075	0.2175	1.47503e+08
1.075	0.2225	1.27903e+08
1.075	0.2275	1.13315e+08
1.075	0.2325	1.00162e+08
1.075	0.2375	8.22465e+07
1.075	0.2425	7.59908e+07
1.075	0.2475	6.37149e+07
1.075	0.2525	5.93388e+07
1.075	0.2575	6.08087e+07
1.075	0.2625	6.23214e+07
1.075	0.2675	6.39057e+07
1.075	0.2725	5.88605e+07
1.075	0.2775	5.67113e+07
1.075	0.2825	5.57187e+07
1.075	0.2875	5.67322e+07
1.075	0.2925	5.28966e+07
1.075	0.2975	4.99466e+07
1.075	0.3025	4.39972e+07
1.075	0.3075	4.28095e+07
1.075	0.3125	4.38664e+07
1.075	0.3175	4.39407e+07
1.075	0.3225	3.91125e+07
1.075	0.3275	3.47933e+07
1.075	0.3325	2.98391e+07
1.075	0.3375	2.47546e+07
1.075	0.3425	2.03564e+07
1.075	0.3475	1.85505e+07
1.075	0.3525	1.23963e+07
1.075	0.3575	1.33745e+07
1.075	0.3625	1.28945e+07
1.075	0.3675	9.31538e+06
1.075	0.3725	6.11703e+06
1.075	0.3775	5.41276e+06
1.075	0.3825	2.59511e+06
1.075	0.3875	1.2112e+06
1.075	0.3925	197245
1.125	0.0825	3.82252e+07
1.125	0.0875	3.42235e+08
1.125	0.0925	4.37468e+08
1.125	0.0975	4.14623e+08
1.125	0.1025	3.99118e+08
1.125	0.1075	3.77989e+08
1.125	0.1125	3.50563e+08
1.125	0.1175	3.38483e+08
1.125	0.1225	3.20716e+08
1.125	0.1275	3.09088e+08
1.125	0.1325	2.89391e+08
1.125	0.1375	2.74357e+08
1.125	0.1425	2.54552e+08
1.125	0.1475	2.59521e+08
1.125	0.1525	2.45047e+08
1.125	0.1575	2.33107e+08
1.125	0.1625	2.1431e+08
1.125	0.1675	2.17781e+08
1.125	0.1725	2.18993e+08
1.125	0.1775	2.15274e+08
1.125	0.1825	1.97613e+08
1.125	0.1875	1.92047e+08
1.125	0.1925	1.86362e+08
