Q2_center	xbj_center	Content
1.025	0.0725	1.12974e+07
1.025	0.0775	1.91216e+08
1.025	0.0825	2.60618e+08
1.025	0.0875	2.42843e+08
1.025	0.0925	2.27452e+08
1.025	0.0975	2.13021e+08
1.025	0.1025	2.02716e+08
1.025	0.1075	2.02595e+08
1.025	0.1125	1.92404e+08
1.025	0.1175	1.80817e+08
1.025	0.1225	1.73861e+08
1.025	0.1275	1.60726e+08
1.025	0.1325	1.52312e+08
1.025	0.1375	1.46764e+08
1.025	0.1425	1.38827e+08
1.025	0.1475	1.35863e+08
1.025	0.1525	1.23975e+08
1.025	0.1575	1.25496e+08
1.025	0.1625	1.23319e+08
1.025	0.1675	1.15482e+08
1.025	0.1725	1.14583e+08
1.025	0.1775	1.12279e+08
1.025	0.1825	1.06436e+08
1.025	0.1875	8.86181e+07
1.025	0.1925	7.25786e+07
1.025	0.1975	6.47784e+07
1.025	0.2025	4.878e+07
1.025	0.2075	4.16103e+07
1.025	0.2125	3.80326e+07
1.025	0.2175	3.65808e+07
1.025	0.2225	3.61619e+07
1.025	0.2275	3.50376e+07
1.025	0.2325	3.47777e+07
1.025	0.2375	3.2548e+07
1.025	0.2425	3.12148e+07
1.025	0.2475	3.20141e+07
1.025	0.2525	2.91667e+07
1.025	0.2575	2.64455e+07
1.025	0.2625	2.04867e+07
1.025	0.2675	1.72231e+07
1.025	0.2725	1.71326e+07
1.025	0.2775	1.24263e+07
1.025	0.2825	1.02795e+07
1.025	0.2875	7.92406e+06
1.025	0.2925	4.48465e+06
1.025	0.2975	2.44762e+06
1.025	0.3025	1.12844e+06
1.025	0.3075	62326.7
1.075	0.0775	1.56287e+07
1.075	0.0825	1.73374e+08
1.075	0.0875	2.24693e+08
1.075	0.0925	2.12791e+08
1.075	0.0975	1.99792e+08
1.075	0.1025	1.84016e+08
1.075	0.1075	1.79314e+08
1.075	0.1125	1.76753e+08
1.075	0.1175	1.69391e+08
1.075	0.1225	1.56281e+08
1.075	0.1275	1.50331e+08
1.075	0.1325	1.40528e+08
1.075	0.1375	1.33044e+08
1.075	0.1425	1.31449e+08
1.075	0.1475	1.2375e+08
1.075	0.1525	1.20292e+08
1.075	0.1575	1.10674e+08
1.075	0.1625	1.11607e+08
1.075	0.1675	1.14912e+08
1.075	0.1725	1.06143e+08
1.075	0.1775	9.91518e+07
1.075	0.1825	9.8471e+07
1.075	0.1875	9.49265e+07
1.075	0.1925	9.71863e+07
1.075	0.1975	8.91387e+07
1.075	0.2025	8.11423e+07
1.075	0.2075	8.05277e+07
1.075	0.2125	7.00361e+07
1.075	0.2175	6.67277e+07
1.075	0.2225	5.7861e+07
1.075	0.2275	5.12617e+07
1.075	0.2325	4.53111e+07
1.075	0.2375	3.72067e+07
1.075	0.2425	3.43768e+07
1.075	0.2475	2.88234e+07
1.075	0.2525	2.68438e+07
1.075	0.2575	2.75087e+07
1.075	0.2625	2.81931e+07
1.075	0.2675	2.89097e+07
1.075	0.2725	2.66273e+07
1.075	0.2775	2.56551e+07
1.075	0.2825	2.52061e+07
1.075	0.2875	2.56645e+07
1.075	0.2925	2.39295e+07
1.075	0.2975	2.25949e+07
1.075	0.3025	1.99035e+07
1.075	0.3075	1.93662e+07
1.075	0.3125	1.98444e+07
1.075	0.3175	1.98779e+07
1.075	0.3225	1.76938e+07
1.075	0.3275	1.57398e+07
1.075	0.3325	1.34987e+07
1.075	0.3375	1.11985e+07
1.075	0.3425	9.20888e+06
1.075	0.3475	8.39188e+06
1.075	0.3525	5.60783e+06
1.075	0.3575	6.05035e+06
1.075	0.3625	5.83322e+06
1.075	0.3675	4.2141e+06
1.075	0.3725	2.76723e+06
1.075	0.3775	2.44863e+06
1.075	0.3825	1.17398e+06
1.075	0.3875	547924
1.075	0.3925	89229.7
1.125	0.0825	1.72924e+07
1.125	0.0875	1.5481e+08
1.125	0.0925	1.97902e+08
1.125	0.0975	1.87566e+08
1.125	0.1025	1.80554e+08
1.125	0.1075	1.70994e+08
1.125	0.1125	1.5859e+08
1.125	0.1175	1.53123e+08
1.125	0.1225	1.45088e+08
1.125	0.1275	1.39826e+08
1.125	0.1325	1.30914e+08
1.125	0.1375	1.24113e+08
1.125	0.1425	1.15155e+08
1.125	0.1475	1.17403e+08
1.125	0.1525	1.10855e+08
1.125	0.1575	1.05453e+08
1.125	0.1625	9.69498e+07
