Q2_center	xbj_center	Content
2.825	0.2025	41487.7
2.875	0.2025	22318.7
2.875	0.2075	197068
2.925	0.2075	131808
2.925	0.2125	113300
2.975	0.2125	198902
2.975	0.2175	97876.5
3.025	0.2125	564820
3.025	0.2175	2.25408e+06
3.025	0.2225	243467
3.075	0.2175	1.98013e+06
3.075	0.2225	2.58315e+06
3.075	0.2275	167511
3.125	0.2225	4.96248e+06
3.125	0.2275	3.74307e+06
3.125	0.2325	196742
3.125	0.2375	71683.8
3.175	0.2225	490443
3.175	0.2275	5.30434e+06
3.175	0.2325	5.36733e+06
3.175	0.2375	271526
3.175	0.2425	196015
3.225	0.2275	2.18804e+06
3.225	0.2325	1.34879e+07
3.225	0.2375	6.00738e+06
3.225	0.2425	591297
3.225	0.2475	89115.7
3.275	0.2325	6.32028e+06
3.275	0.2375	1.06415e+07
3.275	0.2425	6.81709e+06
3.275	0.2475	726566
3.275	0.2525	330244
3.325	0.2325	478165
3.325	0.2375	6.40534e+06
3.325	0.2425	9.49152e+06
3.325	0.2475	5.50276e+06
3.325	0.2525	1.28963e+06
3.325	0.2575	212309
3.325	0.2625	16347.1
3.375	0.2375	2.57909e+06
3.375	0.2425	1.34236e+07
3.375	0.2475	1.03967e+07
3.375	0.2525	4.15528e+06
3.375	0.2575	2.01508e+06
3.375	0.2625	276139
3.375	0.2675	90218.4
3.425	0.2425	6.44891e+06
3.425	0.2475	1.65947e+07
3.425	0.2525	1.27323e+07
3.425	0.2575	5.98099e+06
3.425	0.2625	3.25737e+06
3.425	0.2675	202939
3.425	0.2725	32305.4
3.475	0.2475	5.39629e+06
3.475	0.2525	1.12635e+07
3.475	0.2575	8.54564e+06
3.475	0.2625	5.21193e+06
3.475	0.2675	2.46452e+06
3.475	0.2725	189249
3.475	0.2775	128595
3.525	0.2525	1.04827e+07
3.525	0.2575	1.09185e+07
3.525	0.2625	1.04247e+07
3.525	0.2675	4.78381e+06
3.525	0.2725	4.37121e+06
3.525	0.2775	614124
3.525	0.2825	49765.4
3.525	0.2875	53474
3.575	0.2525	5.65404e+06
3.575	0.2575	1.36574e+07
3.575	0.2625	1.46373e+07
3.575	0.2675	6.59533e+06
3.575	0.2725	6.56285e+06
3.575	0.2775	4.3673e+06
3.575	0.2825	41734.5
3.575	0.2875	158280
3.575	0.2925	65341.6
3.625	0.2575	1.04502e+07
3.625	0.2625	1.61827e+07
3.625	0.2675	1.36362e+07
3.625	0.2725	1.14421e+07
3.625	0.2775	8.12806e+06
3.625	0.2825	4.44275e+06
3.625	0.2875	1.84427e+06
3.625	0.2925	248950
3.625	0.2975	30570.4
3.675	0.2625	1.13116e+07
3.675	0.2675	1.40557e+07
3.675	0.2725	9.91435e+06
3.675	0.2775	1.27311e+07
3.675	0.2825	1.03494e+07
3.675	0.2875	6.66803e+06
3.675	0.2925	2.08552e+06
3.675	0.2975	110687
3.675	0.3025	138613
3.675	0.3075	74261.4
3.725	0.2625	1.93634e+06
3.725	0.2675	1.90982e+07
3.725	0.2725	1.32044e+07
3.725	0.2775	1.52724e+07
3.725	0.2825	7.52992e+06
3.725	0.2875	9.40368e+06
3.725	0.2925	4.05657e+06
3.725	0.2975	2.50297e+06
3.725	0.3025	445725
3.725	0.3075	119025
3.725	0.3125	15232.5
3.725	0.3175	33789.2
3.775	0.2675	7.62433e+06
3.775	0.2725	1.41193e+07
3.775	0.2775	1.69637e+07
3.775	0.2825	1.2252e+07
3.775	0.2875	8.06207e+06
3.775	0.2925	5.08016e+06
3.775	0.2975	4.14232e+06
3.775	0.3025	3.42649e+06
3.775	0.3075	737448
3.775	0.3125	122659
3.775	0.3175	144543
3.775	0.3225	48622.3
3.825	0.2725	1.13994e+07
3.825	0.2775	2.05435e+07
3.825	0.2825	1.7583e+07
3.825	0.2875	1.5479e+07
3.825	0.2925	1.17271e+07
3.825	0.2975	6.06881e+06
3.825	0.3025	6.27541e+06
3.825	0.3075	4.15568e+06
3.825	0.3125	1.03244e+06
3.825	0.3175	200194
3.825	0.3225	194673
3.825	0.3275	211663
3.875	0.2775	1.61705e+07
3.875	0.2825	1.91652e+07
3.875	0.2875	1.50686e+07
3.875	0.2925	1.2966e+07
3.875	0.2975	1.10163e+07
