Q2_center	xbj_center	Content
2.425	0.1575	106
2.425	0.1625	121241
2.475	0.1625	99577.1
2.475	0.1675	277390
2.525	0.1675	296814
2.525	0.1725	224272
2.575	0.1675	906.533
2.575	0.1725	2.37627e+06
2.575	0.1775	315480
2.625	0.1725	1.70514e+06
2.625	0.1775	5.81148e+06
2.625	0.1825	307107
2.675	0.1775	6.49626e+06
2.675	0.1825	6.78991e+06
2.675	0.1875	160591
2.725	0.1775	12533
2.725	0.1825	1.407e+07
2.725	0.1875	5.78303e+06
2.725	0.1925	132614
2.775	0.1825	3.80065e+06
2.775	0.1875	2.22247e+07
2.775	0.1925	4.34383e+06
2.775	0.1975	142579
2.825	0.1875	1.44103e+07
2.825	0.1925	2.19611e+07
2.825	0.1975	4.1566e+06
2.825	0.2025	166439
2.875	0.1875	33880.5
2.875	0.1925	2.61064e+07
2.875	0.1975	1.84132e+07
2.875	0.2025	3.78652e+06
2.875	0.2075	175940
2.925	0.1925	4.83419e+06
2.925	0.1975	3.38725e+07
2.925	0.2025	1.75436e+07
2.925	0.2075	4.037e+06
2.925	0.2125	108212
2.975	0.1975	1.78355e+07
2.975	0.2025	3.34136e+07
2.975	0.2075	1.66564e+07
2.975	0.2125	4.11561e+06
2.975	0.2175	194444
2.975	0.2225	4384.44
3.025	0.1975	51147.6
3.025	0.2025	3.13303e+07
3.025	0.2075	3.09399e+07
3.025	0.2125	1.60413e+07
3.025	0.2175	3.87012e+06
3.025	0.2225	311075
3.025	0.2275	10368.8
3.075	0.2025	4.74759e+06
3.075	0.2075	3.96367e+07
3.075	0.2125	2.92779e+07
3.075	0.2175	1.49476e+07
3.075	0.2225	4.00227e+06
3.075	0.2275	282506
3.075	0.2325	8420.05
3.125	0.2075	1.79803e+07
3.125	0.2125	3.99951e+07
3.125	0.2175	2.69291e+07
3.125	0.2225	1.39206e+07
3.125	0.2275	5.1518e+06
3.125	0.2325	226854
3.125	0.2375	57918.2
3.175	0.2075	45576.7
3.175	0.2125	3.24339e+07
3.175	0.2175	3.69722e+07
3.175	0.2225	2.52397e+07
3.175	0.2275	1.32671e+07
3.175	0.2325	5.97745e+06
3.175	0.2375	373813
3.175	0.2425	164395
3.225	0.2125	4.79338e+06
3.225	0.2175	4.00074e+07
3.225	0.2225	3.48579e+07
3.225	0.2275	2.46366e+07
3.225	0.2325	1.39138e+07
3.225	0.2375	7.079e+06
3.225	0.2425	624569
3.225	0.2475	120039
3.275	0.2175	1.59906e+07
3.275	0.2225	3.93579e+07
3.275	0.2275	3.50158e+07
3.275	0.2325	2.43515e+07
3.275	0.2375	1.40353e+07
3.275	0.2425	7.30112e+06
3.275	0.2475	883702
3.275	0.2525	269821
3.325	0.2175	43511
3.325	0.2225	2.83807e+07
3.325	0.2275	3.77269e+07
3.325	0.2325	3.28442e+07
3.325	0.2375	2.35109e+07
3.325	0.2425	1.3703e+07
3.325	0.2475	7.42278e+06
3.325	0.2525	1.57939e+06
3.325	0.2575	280360
3.325	0.2625	13467
3.375	0.2225	4.00271e+06
3.375	0.2275	3.58286e+07
3.375	0.2325	3.68926e+07
3.375	0.2375	3.14482e+07
3.375	0.2425	2.19855e+07
3.375	0.2475	1.38789e+07
3.375	0.2525	8.25868e+06
3.375	0.2575	1.94106e+06
3.375	0.2625	329526
3.375	0.2675	103342
3.425	0.2275	1.36724e+07
3.425	0.2325	3.65367e+07
3.425	0.2375	3.51279e+07
3.425	0.2425	2.86033e+07
3.425	0.2475	2.0067e+07
3.425	0.2525	1.33498e+07
3.425	0.2575	8.17859e+06
3.425	0.2625	2.87629e+06
3.425	0.2675	370751
3.425	0.2725	95327.4
3.475	0.2275	42008.4
3.475	0.2325	2.51745e+07
3.475	0.2375	3.48388e+07
3.475	0.2425	3.27427e+07
3.475	0.2475	2.6583e+07
3.475	0.2525	1.95171e+07
3.475	0.2575	1.40174e+07
3.475	0.2625	8.2597e+06
3.475	0.2675	3.61583e+06
3.475	0.2725	397422
3.475	0.2775	150162
3.475	0.2825	11977
3.525	0.2325	3.59918e+06
3.525	0.2375	3.08484e+07
3.525	0.2425	3.23087e+07
3.525	0.2475	3.09036e+07
3.525	0.2525	2.52076e+07
3.525	0.2575	1.88401e+07
3.525	0.2625	1.4788e+07
3.525	0.2675	7.80633e+06
3.525	0.2725	5.01419e+06
3.525	0.2775	796184
3.525	0.2825	179371
3.525	0.2875	41351.7
3.575	0.2375	1.20744e+07
3.575	0.2425	3.13941e+07
3.575	0.2475	3.09658e+07
3.575	0.2525	2.92928e+07
3.575	0.2575	2.40008e+07
3.575	0.2625	1.83341e+07
3.575	0.2675	1.46106e+07
3.575	0.2725	7.74299e+06
3.575	0.2775	6.26782e+06
3.575	0.2825	1.19327e+06
3.575	0.2875	233027
3.575	0.2925	92999.6
3.625	0.2375	35000.3
3.625	0.2425	2.15599e+07
3.625	0.2475	2.92812e+07
3.625	0.2525	2.912e+07
3.625	0.2575	2.75462e+07
3.625	0.2625	2.34872e+07
3.625	0.2675	1.8547e+07
3.625	0.2725	1.44477e+07
3.625	0.2775	8.51527e+06
3.625	0.2825	6.54817e+06
3.625	0.2875	2.15376e+06
3.625	0.2925	235663
3.625	0.2975	128862
3.625	0.3025	10073.2
3.675	0.2425	3.13331e+06
3.675	0.2475	2.65528e+07
3.675	0.2525	2.72379e+07
3.675	0.2575	2.7296e+07
3.675	0.2625	2.64433e+07
3.675	0.2675	2.30498e+07
3.675	0.2725	1.86448e+07
3.675	0.2775	1.41553e+07
3.675	0.2825	9.70076e+06
3.675	0.2875	6.32265e+06
3.675	0.2925	3.2004e+06
3.675	0.2975	340633
3.675	0.3025	148369
3.675	0.3075	28691.5
3.725	0.2475	1.04611e+07
3.725	0.2525	2.61649e+07
3.725	0.2575	2.60033e+07
3.725	0.2625	2.57341e+07
3.725	0.2675	2.55581e+07
3.725	0.2725	2.14717e+07
3.725	0.2775	1.80814e+07
3.725	0.2825	1.37741e+07
3.725	0.2875	1.01701e+07
3.725	0.2925	6.0376e+06
3.725	0.2975	4.41129e+06
3.725	0.3025	776330
3.725	0.3075	156725
3.725	0.3125	122221
3.725	0.3175	8787.71
3.775	0.2475	34840.9
3.775	0.2525	1.80754e+07
3.775	0.2575	2.49061e+07
3.775	0.2625	2.46351e+07
3.775	0.2675	2.44826e+07
3.775	0.2725	2.44286e+07
3.775	0.2775	2.06249e+07
3.775	0.2825	1.7417e+07
3.775	0.2875	1.35092e+07
3.775	0.2925	1.05858e+07
3.775	0.2975	6.07034e+06
3.775	0.3025	4.88932e+06
3.775	0.3075	1.55303e+06
3.775	0.3125	155018
3.775	0.3175	247431
3.775	0.3225	90345.3
3.825	0.2525	2.67651e+06
3.825	0.2575	2.27705e+07
3.825	0.2625	2.31594e+07
3.825	0.2675	2.34356e+07
3.825	0.2725	2.36038e+07
3.825	0.2775	2.28962e+07
3.825	0.2825	1.96022e+07
3.825	0.2875	1.75988e+07
3.825	0.2925	1.29929e+07
3.825	0.2975	1.08584e+07
