Q2_center	xbj_center	Content
2.425	0.1575	49.6877
2.425	0.1625	56831.7
2.475	0.1625	46676.8
2.475	0.1675	130027
2.525	0.1675	139131
2.525	0.1725	105127
2.575	0.1675	424.937
2.575	0.1725	1.11388e+06
2.575	0.1775	147881
2.625	0.1725	799286
2.625	0.1775	2.72415e+06
2.625	0.1825	143957
2.675	0.1775	3.04513e+06
2.675	0.1825	3.18277e+06
2.675	0.1875	75277.1
2.725	0.1775	5874.85
2.725	0.1825	6.59532e+06
2.725	0.1875	2.71082e+06
2.725	0.1925	62162.9
2.775	0.1825	1.78156e+06
2.775	0.1875	1.04178e+07
2.775	0.1925	2.03617e+06
2.775	0.1975	66834.1
2.825	0.1875	6.75482e+06
2.825	0.1925	1.02942e+07
2.825	0.1975	1.94841e+06
2.825	0.2025	78018.3
2.875	0.1875	15881.5
2.875	0.1925	1.22373e+07
2.875	0.1975	8.63113e+06
2.875	0.2025	1.77493e+06
2.875	0.2075	82471.8
2.925	0.1925	2.26602e+06
2.925	0.1975	1.58778e+07
2.925	0.2025	8.22354e+06
2.925	0.2075	1.89234e+06
2.925	0.2125	50724.6
2.975	0.1975	8.36039e+06
2.975	0.2025	1.56626e+07
2.975	0.2075	7.80768e+06
2.975	0.2125	1.92918e+06
2.975	0.2175	91145.7
2.975	0.2225	2055.21
3.025	0.1975	23975.5
3.025	0.2025	1.46861e+07
3.025	0.2075	1.45033e+07
3.025	0.2125	7.51938e+06
3.025	0.2175	1.81411e+06
3.025	0.2225	145816
3.025	0.2275	4860.35
3.075	0.2025	2.22543e+06
3.075	0.2075	1.85797e+07
3.075	0.2125	1.3724e+07
3.075	0.2175	7.00673e+06
3.075	0.2225	1.87606e+06
3.075	0.2275	132424
3.075	0.2325	3946.9
3.125	0.2075	8.42829e+06
3.125	0.2125	1.87478e+07
3.125	0.2175	1.2623e+07
3.125	0.2225	6.52527e+06
3.125	0.2275	2.4149e+06
3.125	0.2325	106338
3.125	0.2375	27149.2
3.175	0.2075	21364.1
3.175	0.2125	1.52034e+07
3.175	0.2175	1.73308e+07
3.175	0.2225	1.18311e+07
3.175	0.2275	6.21891e+06
3.175	0.2325	2.8019e+06
3.175	0.2375	175225
3.175	0.2425	77060.1
3.225	0.2125	2.2469e+06
3.225	0.2175	1.87535e+07
3.225	0.2225	1.63397e+07
3.225	0.2275	1.15485e+07
3.225	0.2325	6.52214e+06
3.225	0.2375	3.31829e+06
3.225	0.2425	292766
3.225	0.2475	56268.1
3.275	0.2175	7.49558e+06
3.275	0.2225	1.8449e+07
3.275	0.2275	1.64137e+07
3.275	0.2325	1.14148e+07
3.275	0.2375	6.57902e+06
3.275	0.2425	3.4224e+06
3.275	0.2475	414236
3.275	0.2525	126479
3.325	0.2175	20395.8
3.325	0.2225	1.33036e+07
3.325	0.2275	1.76844e+07
3.325	0.2325	1.53958e+07
3.325	0.2375	1.10208e+07
3.325	0.2425	6.42328e+06
3.325	0.2475	3.47946e+06
3.325	0.2525	740341
3.325	0.2575	131419
3.325	0.2625	6312.65
3.375	0.2225	1.87627e+06
3.375	0.2275	1.67946e+07
3.375	0.2325	1.72934e+07
3.375	0.2375	1.47413e+07
3.375	0.2425	1.03058e+07
3.375	0.2475	6.50569e+06
3.375	0.2525	3.87123e+06
3.375	0.2575	909874
3.375	0.2625	154465
3.375	0.2675	48441.8
3.425	0.2275	6.40891e+06
3.425	0.2325	1.71266e+07
3.425	0.2375	1.64661e+07
3.425	0.2425	1.34078e+07
3.425	0.2475	9.40644e+06
3.425	0.2525	6.25774e+06
3.425	0.2575	3.83374e+06
3.425	0.2625	1.34826e+06
3.425	0.2675	173790
3.425	0.2725	44684.7
3.475	0.2275	19691.4
3.475	0.2325	1.18006e+07
3.475	0.2375	1.63307e+07
3.475	0.2425	1.5348e+07
3.475	0.2475	1.24608e+07
3.475	0.2525	9.14869e+06
3.475	0.2575	6.57062e+06
3.475	0.2625	3.87173e+06
3.475	0.2675	1.69492e+06
3.475	0.2725	186291
3.475	0.2775	70388.4
3.475	0.2825	5614.23
3.525	0.2325	1.68712e+06
3.525	0.2375	1.44601e+07
3.525	0.2425	1.51448e+07
3.525	0.2475	1.44861e+07
3.525	0.2525	1.18161e+07
