Q2_center	xbj_center	Content
1.925	0.1775	32375.6
1.925	0.1825	5321.78
1.975	0.1775	9093.55
1.975	0.1825	286998
1.975	0.1875	47995
2.025	0.1825	12489.7
2.025	0.1875	404237
2.025	0.1925	168581
2.025	0.1975	175.842
2.075	0.1875	425930
2.075	0.1925	3.42368e+06
2.075	0.1975	490929
2.075	0.2025	90066.1
2.125	0.1925	1.06341e+06
2.125	0.1975	7.42905e+06
2.125	0.2025	2.16003e+06
2.125	0.2075	166277
2.125	0.2125	899.875
2.175	0.1975	1.48584e+06
2.175	0.2025	1.14576e+07
2.175	0.2075	5.14759e+06
2.175	0.2125	295730
2.175	0.2175	40147.4
2.225	0.2025	4.40223e+06
2.225	0.2075	1.6605e+07
2.225	0.2125	8.00431e+06
2.225	0.2175	1.59202e+06
2.225	0.2225	150891
2.225	0.2275	15085.3
2.275	0.2075	6.11915e+06
2.275	0.2125	2.02037e+07
2.275	0.2175	1.07612e+07
2.275	0.2225	4.31656e+06
2.275	0.2275	327620
2.275	0.2325	91962.1
2.275	0.2375	562.052
2.325	0.2125	7.91054e+06
2.325	0.2175	2.23187e+07
2.325	0.2225	1.34193e+07
2.325	0.2275	7.31379e+06
2.325	0.2325	2.0507e+06
2.325	0.2375	203843
2.325	0.2425	10935
2.375	0.2175	1.15011e+07
2.375	0.2225	2.37281e+07
2.375	0.2275	1.65805e+07
2.375	0.2325	9.76982e+06
2.375	0.2375	5.15396e+06
2.375	0.2425	713772
2.375	0.2475	118852
2.375	0.2525	29696.2
2.425	0.2225	1.34081e+07
2.425	0.2275	2.46456e+07
2.425	0.2325	1.88191e+07
2.425	0.2375	1.24019e+07
2.425	0.2425	7.53721e+06
2.425	0.2475	2.7867e+06
2.425	0.2525	248677
2.425	0.2575	172751
2.425	0.2625	8962.51
2.475	0.2275	1.57186e+07
2.475	0.2325	2.58955e+07
2.475	0.2375	2.04836e+07
2.475	0.2425	1.4459e+07
2.475	0.2475	9.22572e+06
2.475	0.2525	5.11177e+06
