Q2_center	xbj_center	Content
1.925	0.1775	14646.1
1.925	0.1825	2407.47
1.975	0.1775	4113.75
1.975	0.1825	129832
1.975	0.1875	21712
2.025	0.1825	5650.1
2.025	0.1875	182869
2.025	0.1925	76262.7
2.025	0.1975	79.5478
2.075	0.1875	192683
2.075	0.1925	1.5488e+06
2.075	0.1975	222088
2.075	0.2025	40744.2
2.125	0.1925	481065
2.125	0.1975	3.36075e+06
2.125	0.2025	977154
2.125	0.2075	75220.6
2.125	0.2125	407.087
2.175	0.1975	672165
2.175	0.2025	5.18319e+06
2.175	0.2075	2.32869e+06
2.175	0.2125	133782
2.175	0.2175	18161.9
2.225	0.2025	1.99149e+06
2.225	0.2075	7.5118e+06
2.225	0.2125	3.62101e+06
2.225	0.2175	720200
2.225	0.2225	68260.1
2.225	0.2275	6824.32
2.275	0.2075	2.7682e+06
2.275	0.2125	9.13977e+06
2.275	0.2175	4.86814e+06
2.275	0.2225	1.95274e+06
2.275	0.2275	148209
2.275	0.2325	41601.8
2.275	0.2375	254.262
2.325	0.2125	3.57858e+06
2.325	0.2175	1.00966e+07
2.325	0.2225	6.07062e+06
2.325	0.2275	3.30857e+06
2.325	0.2325	927701
2.325	0.2375	92214.5
2.325	0.2425	4946.77
2.375	0.2175	5.2029e+06
2.375	0.2225	1.07342e+07
2.375	0.2275	7.50065e+06
2.375	0.2325	4.41971e+06
2.375	0.2375	2.33155e+06
2.375	0.2425	322896
2.375	0.2475	53766.5
2.375	0.2525	13434
2.425	0.2225	6.06558e+06
2.425	0.2275	1.11492e+07
2.425	0.2325	8.51342e+06
2.425	0.2375	5.61038e+06
2.425	0.2425	3.40965e+06
2.425	0.2475	1.26067e+06
2.425	0.2525	112497
2.425	0.2575	78149.3
2.425	0.2625	4054.47
2.475	0.2275	7.11081e+06
2.475	0.2325	1.17147e+07
2.475	0.2375	9.2663e+06
2.475	0.2425	6.54094e+06
2.475	0.2475	4.17352e+06
2.475	0.2525	2.31246e+06
2.475	0.2575	780764
2.475	0.2625	102726
2.475	0.2675	22166.7
2.475	0.2725	2368.6
2.525	0.2275	26668.4
2.525	0.2325	8.27853e+06
2.525	0.2375	1.16361e+07
2.525	0.2425	9.8102e+06
2.525	0.2475	7.28523e+06
2.525	0.2525	5.17286e+06
2.525	0.2575	2.98444e+06
2.525	0.2625	2.04819e+06
2.525	0.2675	530221
2.525	0.2725	61172.7
2.525	0.2775	90433.8
2.525	0.2825	8896.29
2.575	0.2325	138172
2.575	0.2375	8.9899e+06
2.575	0.2425	1.13014e+07
2.575	0.2475	1.01215e+07
2.575	0.2525	7.98762e+06
2.575	0.2575	6.14633e+06
2.575	0.2625	4.26425e+06
2.575	0.2675	2.80634e+06
2.575	0.2725	1.73448e+06
2.575	0.2775	305268
2.575	0.2825	153234
2.575	0.2875	37280.5
2.575	0.2925	5671.34
2.625	0.2375	366733
2.625	0.2425	8.71073e+06
2.625	0.2475	1.0878e+07
2.625	0.2525	1.01868e+07
2.625	0.2575	9.04549e+06
2.625	0.2625	6.63166e+06
2.625	0.2675	5.57334e+06
2.625	0.2725	3.35022e+06
2.625	0.2775	2.62973e+06
2.625	0.2825	1.20333e+06
2.625	0.2875	271916
2.625	0.2925	96009.5
2.625	0.2975	76914.3
2.625	0.3025	2234.59
2.675	0.2425	600709
2.675	0.2475	8.97873e+06
2.675	0.2525	1.05187e+07
2.675	0.2575	1.02735e+07
2.675	0.2625	9.39243e+06
2.675	0.2675	7.46427e+06
2.675	0.2725	5.88479e+06
2.675	0.2775	4.33888e+06
2.675	0.2825	2.96361e+06
2.675	0.2875	2.09168e+06
2.675	0.2925	1.30532e+06
2.675	0.2975	194481
2.675	0.3025	106345
2.675	0.3075	37170.3
2.675	0.3125	25622.9
2.725	0.2475	877797
2.725	0.2525	8.91862e+06
2.725	0.2575	1.01427e+07
2.725	0.2625	1.0068e+07
2.725	0.2675	9.0276e+06
2.725	0.2725	7.86685e+06
2.725	0.2775	6.1092e+06
2.725	0.2825	4.89252e+06
2.725	0.2875	3.75181e+06
2.725	0.2925	2.26539e+06
2.725	0.2975	2.10537e+06
2.725	0.3025	1.02051e+06
2.725	0.3075	224734
2.725	0.3125	88147
2.725	0.3175	80558.4
2.725	0.3225	9276.35
2.775	0.2525	1.1576e+06
2.775	0.2575	8.95578e+06
2.775	0.2625	9.66959e+06
2.775	0.2675	9.47833e+06
2.775	0.2725	8.85777e+06
2.775	0.2775	7.67383e+06
2.775	0.2825	6.49636e+06
2.775	0.2875	5.11825e+06
2.775	0.2925	4.26125e+06
2.775	0.2975	3.15605e+06
2.775	0.3025	2.29473e+06
2.775	0.3075	1.7862e+06
2.775	0.3125	919699
2.775	0.3175	200660
2.775	0.3225	98359.7
2.775	0.3275	53122.9
2.775	0.3325	18009.1
2.775	0.3375	3578.64
2.825	0.2575	1.58593e+06
2.825	0.2625	8.5832e+06
2.825	0.2675	8.85087e+06
2.825	0.2725	8.67572e+06
2.825	0.2775	8.64686e+06
2.825	0.2825	7.64582e+06
2.825	0.2875	6.7087e+06
2.825	0.2925	5.8161e+06
2.825	0.2975	4.2833e+06
2.825	0.3025	4.09556e+06
2.825	0.3075	2.97572e+06
2.825	0.3125	1.88593e+06
2.825	0.3175	1.59265e+06
2.825	0.3225	1.12888e+06
2.825	0.3275	350230
